IHSA
"Chicago,Public,Catholic,,,,,,,,,,,"
"Suburban Catholic,East,West,,,,,,,,,,,"
"West Suburban,DuCook,DuKane,,,,,,,,,,,"
"Northern,McLake,Grant,,,,,,,,,,,"
"Central,Des Plaines Valley,Sangamon Valley,,,,,,,,,,,"
"Southern,Mississippi Valley,Eastern Prairie,,,,,,,,,,,"
"# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,"
"# Chicago,,,,,,,,,,,,,"
"TEAM,Chicago,Public,Phillips,PHI,85,MTC,,,,,,,"
"TEAM,Chicago,Public,Simeon,SIM,75,STR,,,,,,,"
"TEAM,Chicago,Public,Whitney Young,WY,70,BR,,,,,,,"
"TEAM,Chicago,Public,Taft,TFT,65,STP,,,,,,,"
"TEAM,Chicago,Public,Curie,CUR,60,STI,,,,,,,"
"TEAM,Chicago,Public,Lane Tech,LNT,55,DLS,,,,,,,"
"TEAM,Chicago,Public,Morgan Park,MP,50,MAR,,,,,,,"
"TEAM,Chicago,Catholic,Mt Carmel,MTC,95,PHI,,,,,,,"
"TEAM,Chicago,Catholic,St Rita,STR,75,SIM,,,,,,,"
"TEAM,Chicago,Catholic,Brother Rice,BR,75,WY,,,,,,,"
"TEAM,Chicago,Catholic,St Patrick,STP,60,TFT,,,,,,,"
"TEAM,Chicago,Catholic,St Ignatius,STI,60,CUR,,,,,,,"
"TEAM,Chicago,Catholic,De La Salle,DLS,65,LNT,,,,,,,"
"TEAM,Chicago,Catholic,Marist,MAR,80,MP,,,,,,,"
"# Suburban Catholic,,,,,,,,,,,,,"
"TEAM,Suburban Catholic,East,Loyola,LA,95,MC,,,,,,,"
"TEAM,Suburban Catholic,East,Nazareth,NAZ,90,BEN,,,,,,,"
"TEAM,Suburban Catholic,East,IC Catholic,IC,80,JCA,,,,,,,"
"TEAM,Suburban Catholic,East,St Laurence,STL,75,STV,,,,,,,"
"TEAM,Suburban Catholic,East,Fenwick,FEN,65,PRV,,,,,,,"
"TEAM,Suburban Catholic,East,Notre Dame Niles,NDN,75,MCC,,,,,,,"
"TEAM,Suburban Catholic,East,Carmel of Mundelein,COM,55,STF,,,,,,,"
"TEAM,Suburban Catholic,West,Montini,MC,85,LA,,,,,,,"
"TEAM,Suburban Catholic,West,Benet,BEN,75,NAZ,,,,,,,"
"TEAM,Suburban Catholic,West,Joliet Catholic,JCA,90,IC,,,,,,,"
"TEAM,Suburban Catholic,West,St Viator,STV,70,STL,,,,,,,"
"TEAM,Suburban Catholic,West,Providence,PRV,75,FEN,,,,,,,"
"TEAM,Suburban Catholic,West,Marian Catholic,MCC,50,NDN,,,,,,,"
"TEAM,Suburban Catholic,West,St Francis,STF,55,COM,,,,,,,"
"# West Suburban,,,,,,,,,,,,,"
"TEAM,West Suburban,DuCook,Downers Grove,DG,80,GLN,,,,,,,"
"TEAM,West Suburban,DuCook,Hinsdale,HIN,80,WW,,,,,,,"
"TEAM,West Suburban,DuCook,Proviso,PRO,65,BAT,,,,,,,"
"TEAM,West Suburban,DuCook,Morton,MOR,50,STC,,,,,,,"
"TEAM,West Suburban,DuCook,York,YRK,55,NPV,,,,,,,"
"TEAM,West Suburban,DuCook,Lyons,LT,65,WV,,,,,,,"
"TEAM,West Suburban,DuCook,Willowbrook,WIL,75,MTP,,,,,,,"
"TEAM,West Suburban,DuKane,Glenbard,GLN,85,DG,,,,,,,"
"TEAM,West Suburban,DuKane,Wheaton Warrenville,WW,80,HIN,,,,,,,"
"TEAM,West Suburban,DuKane,Batavia,BAT,80,PRO,,,,,,,"
"TEAM,West Suburban,DuKane,St. Charles,STC,70,MOR,,,,,,,"
"TEAM,West Suburban,DuKane,Naperville,NPV,65,YRK,,,,,,,"
"TEAM,West Suburban,DuKane,Waubonsie Valley,WV,60,LT,,,,,,,"
"TEAM,West Suburban,DuKane,Mt Prospect,MTP,65,WIL,,,,,,,"
"# Northern,,,,,,,,,,,,,"
"TEAM,Northern,McLake,Prairie Ridge,PR,90,NCC,,,,,,,"
"TEAM,Northern,McLake,Cary Grove,CG,85,SV,,,,,,,"
