WORLD
North America,Mississippi,Caribbean,,,,,,,,,,,
South America,Amazon,Andes,,,,,,,,,,,
Africa,Nile,Sahara,,,,,,,,,,,
Europe,Mediterranean,North Sea,,,,,,,,,,,
Asia,Himalayas,Oceania,,,,,,,,,,,
Eurasia,Euphrates,Balkans,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# North America,,,,,,,,,,,,,
TEAM,North America,Mississippi,United States,USA,95,CAN,,,,,,,
TEAM,North America,Mississippi,Dominican Republic,DR,27,MEX,,,,,,,
TEAM,North America,Mississippi,Guatemala,GUA,25,CUB,,,,,,,
TEAM,North America,Mississippi,Panama,PAN,25,SAL,,,,,,,
TEAM,North America,Mississippi,Costa Rica,CR,25,TT,,,,,,,
TEAM,North America,Mississippi,Jamaica,JAM,25,HON,,,,,,,
TEAM,North America,Mississippi,Haiti,HAI,25,NIC,,,,,,,
TEAM,North America,Caribbean,Canada,CAN,70,USA,,,,,,,
TEAM,North America,Caribbean,Mexico,MEX,27,DR,,,,,,,
TEAM,North America,Caribbean,Cuba,CUB,25,GUA,,,,,,,
TEAM,North America,Caribbean,El Salvador,SAL,20,PAN,,,,,,,
TEAM,North America,Caribbean,Trinadad and Tobago,TT,23,CR,,,,,,,
TEAM,North America,Caribbean,Honduras,HON,25,JAM,,,,,,,
TEAM,North America,Caribbean,Nicaragua,NIC,20,HAI,,,,,,,		
# South America,,,,,,,,,,,,,
TEAM,South America,Amazon,Brazil,BRA,27,ARG,,,,,,,
TEAM,South America,Amazon,Colombia,COL,26,CHI,,,,,,,
TEAM,South America,Amazon,Venezuela,VEN,25,PER,,,,,,,
TEAM,South America,Amazon,Ecuador,ECU,25,BOL,,,,,,,
TEAM,South America,Amazon,Uruguay,URA,25,PAR,,,,,,,
TEAM,South America,Amazon,Suriname,SUR,25,GUY,,,,,,,
TEAM,South America,Amazon,French Guiana,FGA,25,FAL,,,,,,,
TEAM,South America,Andes,Argentina,ARG,26,BRA,,,,,,,
TEAM,South America,Andes,Chile,CHI,25,COL,,,,,,,
TEAM,South America,Andes,Peru,PER,24,VEN,,,,,,,
TEAM,South America,Andes,Bolivia,BOL,24,ECU,,,,,,,
TEAM,South America,Andes,Paraguay,PAR,25,URA,,,,,,,
TEAM,South America,Andes,Guyana,GUY,23,SUR,,,,,,,
TEAM,South America,Andes,Falkand Islands,FAL,22,FGA,,,,,,,					
# Africa,,,,,,,,,,,,,
TEAM,Africa,Nile,South Africa,SAF,27,NIG,,,,,,,
TEAM,Africa,Nile,Egypt,EGY,25,ALG,,,,,,,
TEAM,Africa,Nile,Morocco,MOR,25,KEN,,,,,,,
TEAM,Africa,Nile,Ghana,GHA,25,ANG,,,,,,,
TEAM,Africa,Nile,Tanzia,TAN,25,ETH,,,,,,,
TEAM,Africa,Nile,Congo,CON,25,LIB,,,,,,,
TEAM,Africa,Nile,Tunisia,TUN,25,CAM,,,,,,,
TEAM,Africa,Sahara,Nigeria,NIG,25,SAF,,,,,,,
TEAM,Africa,Sahara,Algeria,ALG,25,EGY,,,,,,,
TEAM,Africa,Sahara,Kenya,KEN,24,MOR,,,,,,,
TEAM,Africa,Sahara,Angola,ANG,24,GHA,,,,,,,
TEAM,Africa,Sahara,Ethiopia,ETH,25,TAN,,,,,,,
TEAM,Africa,Sahara,Libya,LIB,25,CON,,,,,,,
TEAM,Africa,Sahara,Cameroon,CAM,23,TUN,,,,,,,					
# Europe,,,,,,,,,,,,,
TEAM,Europe,Mediterranean,France,FRA,27,GER,,,,,,,
TEAM,Europe,Mediterranean,Italy,ITA,25,UK,,,,,,,
TEAM,Europe,Mediterranean,Spain,SPA,25,RUS,,,,,,,
TEAM,Europe,Mediterranean,Austria,AST,25,NTH,,,,,,,
TEAM,Europe,Mediterranean,Norway,NOR,26,SWE,,,,,,,
TEAM,Europe,Mediterranean,Belgium,BEL,24,DEN,,,,,,,
TEAM,Europe,Mediterranean,Portugal,POR,25,IRE,,,,,,,
TEAM,Europe,North Sea,Germany,GER,27,FRA,,,,,,,
TEAM,Europe,North Sea,United Kingdom,UK,27,ITA,,,,,,,
TEAM,Europe,North Sea,Russia,RUS,25,SPA,,,,,,,
TEAM,Europe,North Sea,Netherlands,NTH,25,AST,,,,,,,
TEAM,Europe,North Sea,Sweden,SWE,24,NOR,,,,,,,
TEAM,Europe,North Sea,Denmark,DEN,23,BEL,,,,,,,
TEAM,Europe,North Sea,Ireland,IRE,27,POR,,,,,,,		
# Asia,,,,,,,,,,,,,
TEAM,Asia,Himalayas,India,IND,25,AUS,,,,,,,
TEAM,Asia,Himalayas,South Korea,SK,25,FIJ,,,,,,,
TEAM,Asia,Himalayas,Vietnam,VIE,25,SOL,,,,,,,
TEAM,Asia,Himalayas,Hong Kong,HK,25,SAM,,,,,,,
TEAM,Asia,Himalayas,China,CHN,25,PHI,,,,,,,
TEAM,Asia,Himalayas,Japan,JAP,25,SNG,,,,,,,
TEAM,Asia,Himalayas,Tawain,TAW,25,INO,,,,,,,
TEAM,Asia,Oceania,Australia,AUS,27,IND,,,,,,,
TEAM,Asia,Oceania,Fiji,FIJ,25,SK,,,,,,,
TEAM,Asia,Oceania,Solomon Islands,SOL,24,VIE,,,,,,,
TEAM,Asia,Oceania,Samoa,SAM,26,HK,,,,,,,
TEAM,Asia,Oceania,Philippines,PHI,23,CHN,,,,,,,
TEAM,Asia,Oceania,Singapore,SNG,22,JAP,,,,,,,
TEAM,Asia,Oceania,Indonesia,INO,22,TAW,,,,,,,			
# Eurasia,,,,,,,,,,,,,
TEAM,Eurasia,Euphrates,Saudia Arabia,SA,25,CZR,,,,,,,
TEAM,Eurasia,Euphrates,Israel,ISR,25,POL,,,,,,,
TEAM,Eurasia,Euphrates,Iran,IRN,25,GRC,,,,,,,
TEAM,Eurasia,Euphrates,Iraq,IRQ,25,ROM,,,,,,,
TEAM,Eurasia,Euphrates,Kuwait,KUW,25,HUN,,,,,,,
TEAM,Eurasia,Euphrates,United Arab Emiratea,AUE,25,UKR,,,,,,,
TEAM,Eurasia,Euphrates,Turkey,TUR,25,BUL,,,,,,,
TEAM,Eurasia,Balkans,Czech Republic,CZR,25,SA,,,,,,,
TEAM,Eurasia,Balkans,Poland,POL,25,ISR,,,,,,,
TEAM,Eurasia,Balkans,Greece,GRC,25,IRN,,,,,,,
TEAM,Eurasia,Balkans,Romania,ROM,25,IRQ,,,,,,,
TEAM,Eurasia,Balkans,Hungary,HUN,25,KUW,,,,,,,
TEAM,Eurasia,Balkans,Ukraine,UKR,24,AUE,,,,,,,
TEAM,Eurasia,Balkans,Bulgaria,BUL,26,TUR,,,,,,,						
END_FILE,,,,,,,,,,,,,
